time_s,rms_dbfs,spectral_centroid_hz,onset_strength
27.6907,-19.0967,892.389,2.69135
27.7333,-19.1166,953.999,3.12600
27.7760,-19.1402,1043.644,2.50094
27.8187,-19.5983,1025.883,2.55194
27.8613,-19.2174,923.719,2.65844
27.9040,-19.0020,930.691,2.62327
27.9467,-18.9969,967.689,2.62175
27.9893,-18.7236,959.630,2.70788
28.0320,-18.6734,974.448,2.61254
28.0747,-18.7389,961.824,2.58941
28.1173,-18.5202,897.538,2.94467
28.1600,-18.4934,996.437,2.54226
28.2027,-18.7761,1089.700,2.42800
28.2453,-18.9614,1069.975,2.27987
28.2880,-19.0302,1095.516,2.31359
28.3307,-18.9574,1159.502,2.18539
28.3733,-18.9366,1120.993,1.92229
28.4160,-19.0052,1096.350,1.84502
28.4587,-19.1486,1084.588,1.87758
28.5013,-18.9561,1055.508,1.85149
28.5440,-19.0019,1104.192,1.85790
28.5867,-18.8997,1070.658,2.09350
28.6293,-18.9248,1070.918,2.09940
28.6720,-19.4839,1050.328,2.09471
28.7147,-19.1822,1051.485,2.16602
28.7573,-18.5473,1195.480,1.82413
28.8000,-18.3084,1188.564,2.03323
28.8427,-18.2789,1132.023,2.09476
